"Start","Accept","State","Event","Next","Entry","Exit","Regexp","Interpretation"
"Yes",,"global","[a-z][a-z0-9_]*","class",,"save_class_name","[a-z][a-z0-9_]*","Attribute name"
,,,"{","start_class_attribute",,,"[a-z][a-z0-9_]*","Class name"
,,,"\(","start_group",,,"[-<=>~.]+","Edge name"
,,,"\[","start_node",,,"[a-zA-Z_][a-zA-Z_0-9.]*","Event name"
,,,"[-<=>~.]+","start_edge",,,"[a-zA-Z_][a-zA-Z_0-9. ]*","Node name"
,,,"\s+","global",,,"[a-zA-Z_][a-zA-Z_0-9.]*","State name"
,,,,,,,"[a-z][a-z0-9_]*","Subclass name"
,,"class",",","daisy_chain_class",,"validate_class_name",,
,,,"\.","start_subclass",,,,
,,,"{","start_class_attribute",,,,
,,,"\(","start_group",,,,
,,,"\[","start_node",,,,
,,,"[-<=>~.]+","start_edge",,,,
,,,"\s+","class",,,,
,,,,,,,,
,,"start_class_attribute","[\w :;]+","class_attribute",,,,
,,,,,,,,
,,,,,,,,
,,"daisy_chain_class","[a-z][a-z0-9_]*","class",,,,
,,,"\.","subclass",,,,
,,,"\s+","daisy_chain_class",,,,
,,,,,,,,
,,"start_subclass","[a-z][a-z0-9_]*","subclass",,"save_class_name",,
,,,,,,,,
,,,,,,,,
,,"subclass",",","daisy_chain_class",,"validate_subclass_name",,
,,,"{","start_class_attribute",,,,
,,,"\(","start_group",,,,
,,,"\[","node",,,,
,,,"[-<=>~.]+","start_edge",,,,
,,,"\s+","subclass",,,,
,,,,,,,,
,,"class_attribute","[\w :;]+","class_attribute","save_class_attribute","validate_class_attribute",,
,,,"}","post_class_attribute",,,,
,,,,,,,,
,,,,,,,,
,,"post_class_attribute","[a-z][a-z0-9_]*","class",,"save_class_name",,
,,,"\(","start_group",,,,
,,,"\[","start_node",,,,
,,,"[-<=>~.]+","start_edge",,,,
,,,"\s+","post_class_attribute",,,,
,,,,,,,,
,,"start_group","[\w.]+:","group","push_group","save_group_name",,
,,,"[-<=>~.]+","start_edge",,,,
,,,"\)","post_group",,,,
,,,"\s+","start_group",,,,
,,,,,,,,
,,"group","[a-z][a-z0-9_]*","class",,"validate_group_name",,
,,,"\[","start_node",,,,
,,,"[-<=>~.]+","start_edge",,,,
,,,"\s+","group",,,,
,,,,,,,,
,"Yes","post_group","\[","start_node","pop_group",,,
,,,"\(","start_group",,,,
,,,"[-<=>~.]+","start_edge",,,,
,,,"\s+","post_group",,,,
,,,,,,,,
,,"start_node","[a-zA-Z_][a-zA-Z_0-9. ]*","node",,"save_node_name",,
,,,"]","post_node",,,,
,,,"\s+","start_node",,,,
,,,,,,,,
,,"node","]","post_node",,,,
,,,"\s+","node",,,,
,,,,,,,,
,"Yes","post_node","{","start_attribute","validate_node_name",,,
,,,"\(","start_group",,,,
,,,"\)","post_group",,,,
,,,"\[","start_node",,,,
,,,"[-<=>~.]+","start_edge",,,,
,,,",","daisy_chain_node",,,,
,,,"\s+","post_node",,,,
,,,,,,,,
,,"start_attribute","[\w :;]+","attribute",,,,
,,,,,,,,
,,,,,,,,
,,"attribute","[\w :;]+","attribute","save_attribute","validate_attribute",,
,,,"}","post_attribute",,,,
,,,,,,,,
,,,,,,,,
,"Yes","post_attribute","\)","post_group",,,,
,,,"\[","start_node",,,,
,,,"[-<=>~.]+","start_edge",,,,
,,,",","post_attribute",,,,
,,,"\s+","post_attribute",,,,
,,,,,,,,
,"Yes","start_edge","{","start_attribute","save_edge_name","validate_edge_name",,
,,,"\(","start_group",,,,
,,,"\)","post_group",,,,
,,,"\[","start_node",,,,
,,,",","daisy_chain_edge",,,,
,,,"\s+","start_edge",,,,
,,,,,,,,
,"Yes","daisy_chain_node","\[","start_node",,,,
,,,"\s+","daisy_chain_node",,,,
,,,,,,,,
,"Yes","daisy_chain_edge","[-<=>~.]+","start_edge",,,,
,,,"\s+","daisy_chain_edge",,,,
